"protein","Time","Cow","Diet"
3.63,1,"B01","barley"
3.57,2,"B01","barley"
3.47,3,"B01","barley"
3.65,4,"B01","barley"
3.89,5,"B01","barley"
3.73,6,"B01","barley"
3.77,7,"B01","barley"
3.9,8,"B01","barley"
3.78,9,"B01","barley"
3.82,10,"B01","barley"
3.83,11,"B01","barley"
3.71,12,"B01","barley"
4.1,13,"B01","barley"
4.02,14,"B01","barley"
4.13,15,"B01","barley"
4.08,16,"B01","barley"
4.22,17,"B01","barley"
4.44,18,"B01","barley"
4.3,19,"B01","barley"
3.24,1,"B02","barley"
3.25,2,"B02","barley"
3.29,3,"B02","barley"
3.09,4,"B02","barley"
3.38,5,"B02","barley"
3.33,6,"B02","barley"
3,7,"B02","barley"
3.16,8,"B02","barley"
3.34,9,"B02","barley"
3.32,10,"B02","barley"
3.31,11,"B02","barley"
3.27,12,"B02","barley"
3.41,13,"B02","barley"
3.45,14,"B02","barley"
3.12,15,"B02","barley"
3.42,16,"B02","barley"
3.4,17,"B02","barley"
3.17,18,"B02","barley"
3,19,"B02","barley"
3.98,1,"B03","barley"
3.6,2,"B03","barley"
3.43,3,"B03","barley"
3.3,4,"B03","barley"
3.29,5,"B03","barley"
3.25,6,"B03","barley"
2.93,7,"B03","barley"
3.2,8,"B03","barley"
3.27,9,"B03","barley"
3.22,10,"B03","barley"
2.93,11,"B03","barley"
2.92,12,"B03","barley"
2.82,13,"B03","barley"
2.64,14,"B03","barley"
3.66,1,"B04","barley"
3.5,2,"B04","barley"
3.05,3,"B04","barley"
2.9,4,"B04","barley"
2.72,5,"B04","barley"
3.11,6,"B04","barley"
3.05,7,"B04","barley"
2.8,8,"B04","barley"
3.2,9,"B04","barley"
3.18,10,"B04","barley"
3.14,11,"B04","barley"
3.18,12,"B04","barley"
3.24,13,"B04","barley"
3.37,14,"B04","barley"
3.3,15,"B04","barley"
3.4,16,"B04","barley"
3.35,17,"B04","barley"
3.28,18,"B04","barley"
4.34,1,"B05","barley"
3.76,2,"B05","barley"
3.68,3,"B05","barley"
3.51,4,"B05","barley"
3.45,5,"B05","barley"
3.53,6,"B05","barley"
3.6,7,"B05","barley"
3.77,8,"B05","barley"
3.9,9,"B05","barley"
3.87,10,"B05","barley"
3.61,11,"B05","barley"
3.85,12,"B05","barley"
3.94,13,"B05","barley"
3.87,14,"B05","barley"
3.6,15,"B05","barley"
3.06,16,"B05","barley"
3.47,17,"B05","barley"
3.5,18,"B05","barley"
3.42,19,"B05","barley"
4.36,1,"B06","barley"
3.71,2,"B06","barley"
3.42,3,"B06","barley"
3.95,4,"B06","barley"
4.06,5,"B06","barley"
3.73,6,"B06","barley"
3.92,7,"B06","barley"
3.99,8,"B06","barley"
3.7,9,"B06","barley"
3.88,10,"B06","barley"
3.71,11,"B06","barley"
3.62,12,"B06","barley"
3.74,13,"B06","barley"
3.42,14,"B06","barley"
4.17,1,"B07","barley"
3.6,2,"B07","barley"
3.52,3,"B07","barley"
3.1,4,"B07","barley"
3.78,5,"B07","barley"
3.42,6,"B07","barley"
3.66,7,"B07","barley"
3.64,8,"B07","barley"
3.83,9,"B07","barley"
3.73,10,"B07","barley"
3.72,11,"B07","barley"
3.65,12,"B07","barley"
3.5,13,"B07","barley"
3.32,14,"B07","barley"
2.95,15,"B07","barley"
3.34,16,"B07","barley"
3.51,17,"B07","barley"
3.17,18,"B07","barley"
4.4,1,"B08","barley"
3.86,2,"B08","barley"
3.56,3,"B08","barley"
3.32,4,"B08","barley"
3.64,5,"B08","barley"
3.57,6,"B08","barley"
3.47,7,"B08","barley"
3.97,8,"B08","barley"
3.78,10,"B08","barley"
3.98,11,"B08","barley"
3.9,12,"B08","barley"
4.05,13,"B08","barley"
4.06,14,"B08","barley"
4.05,15,"B08","barley"
3.92,16,"B08","barley"
3.65,17,"B08","barley"
3.6,18,"B08","barley"
3.74,19,"B08","barley"
3.4,1,"B09","barley"
3.42,2,"B09","barley"
3.51,3,"B09","barley"
3.39,4,"B09","barley"
3.35,5,"B09","barley"
3.13,6,"B09","barley"
3.21,7,"B09","barley"
3.5,8,"B09","barley"
3.55,9,"B09","barley"
3.28,10,"B09","barley"
3.75,11,"B09","barley"
3.55,12,"B09","barley"
3.53,13,"B09","barley"
3.52,14,"B09","barley"
3.77,15,"B09","barley"
3.77,16,"B09","barley"
3.74,17,"B09","barley"
4,18,"B09","barley"
3.87,19,"B09","barley"
3.75,1,"B10","barley"
3.89,2,"B10","barley"
3.65,3,"B10","barley"
3.42,4,"B10","barley"
3.32,5,"B10","barley"
3.27,6,"B10","barley"
3.34,7,"B10","barley"
3.35,8,"B10","barley"
3.09,9,"B10","barley"
3.65,10,"B10","barley"
3.53,11,"B10","barley"
3.5,12,"B10","barley"
3.63,13,"B10","barley"
3.91,14,"B10","barley"
3.73,15,"B10","barley"
3.71,16,"B10","barley"
4.18,17,"B10","barley"
3.97,18,"B10","barley"
4.06,19,"B10","barley"
4.2,1,"B11","barley"
3.59,2,"B11","barley"
3.55,3,"B11","barley"
3.27,4,"B11","barley"
3.19,5,"B11","barley"
3.6,6,"B11","barley"
3.5,7,"B11","barley"
3.55,8,"B11","barley"
3.6,9,"B11","barley"
3.75,10,"B11","barley"
3.75,11,"B11","barley"
3.75,12,"B11","barley"
3.89,13,"B11","barley"
3.87,14,"B11","barley"
3.6,15,"B11","barley"
3.68,16,"B11","barley"
3.68,17,"B11","barley"
3.56,18,"B11","barley"
3.34,19,"B11","barley"
4.02,1,"B12","barley"
3.76,2,"B12","barley"
3.6,3,"B12","barley"
3.53,4,"B12","barley"
3.95,5,"B12","barley"
3.26,6,"B12","barley"
3.73,7,"B12","barley"
3.96,8,"B12","barley"
3.7,10,"B12","barley"
3.45,12,"B12","barley"
3.5,13,"B12","barley"
3.13,14,"B12","barley"
4.02,1,"B13","barley"
3.9,2,"B13","barley"
3.73,3,"B13","barley"
3.55,4,"B13","barley"
3.71,5,"B13","barley"
3.4,6,"B13","barley"
3.49,7,"B13","barley"
3.74,8,"B13","barley"
3.61,9,"B13","barley"
3.42,10,"B13","barley"
3.46,11,"B13","barley"
3.4,12,"B13","barley"
3.38,13,"B13","barley"
3.13,14,"B13","barley"
3.9,1,"B14","barley"
3.33,2,"B14","barley"
3.25,3,"B14","barley"
3.22,4,"B14","barley"
3.35,5,"B14","barley"
3.24,6,"B14","barley"
3.16,7,"B14","barley"
3.33,8,"B14","barley"
3.12,9,"B14","barley"
2.93,10,"B14","barley"
2.84,11,"B14","barley"
3.07,12,"B14","barley"
3.02,13,"B14","barley"
2.75,14,"B14","barley"
3.81,1,"B15","barley"
4,2,"B15","barley"
3.57,3,"B15","barley"
3.47,4,"B15","barley"
3.52,5,"B15","barley"
3.63,6,"B15","barley"
3.45,7,"B15","barley"
3.5,8,"B15","barley"
3.71,9,"B15","barley"
3.55,10,"B15","barley"
3.13,11,"B15","barley"
3.04,12,"B15","barley"
3.31,13,"B15","barley"
3.22,14,"B15","barley"
2.92,15,"B15","barley"
3.62,1,"B16","barley"
3.22,2,"B16","barley"
3.62,3,"B16","barley"
3.02,4,"B16","barley"
3.28,5,"B16","barley"
3.15,6,"B16","barley"
3.52,7,"B16","barley"
3.22,8,"B16","barley"
3.45,9,"B16","barley"
3.51,10,"B16","barley"
3.38,11,"B16","barley"
3,12,"B16","barley"
2.94,13,"B16","barley"
3.52,14,"B16","barley"
3.48,15,"B16","barley"
3.02,16,"B16","barley"
3.66,1,"B17","barley"
3.66,2,"B17","barley"
3.28,3,"B17","barley"
3.1,4,"B17","barley"
2.66,5,"B17","barley"
