"supplement","concentration","diameter"
"glucose",631000,21.2
"glucose",592000,21.5
"glucose",563000,21.3
"glucose",475000,21
"glucose",461000,21.5
"glucose",416000,21.3
"glucose",385000,20.3
"glucose",321000,22.7
"glucose",302000,21.5
"glucose",199000,22.2
"glucose",195000,22.6
"glucose",165000,22.5
"glucose",137000,23.3
"glucose",130000,23.5
"glucose",90000,23.4
"glucose",66000,23.6
"glucose",55000,23.9
"glucose",52000,23.6
"glucose",46000,23.6
"glucose",41000,24.5
"glucose",38000,24
"glucose",34000,25.4
"glucose",32000,24.6
"glucose",30000,24.9
"glucose",28000,24.9
"glucose",21000,24.4
"glucose",20000,25.9
"glucose",16000,25.5
"glucose",14500,25.7
"glucose",13500,25.9
"glucose",11600,25.7
"glucose",11000,26.3
"none",630000,19.2
"none",501000,19.5
"none",332000,19.8
"none",285000,21
"none",201000,21
"none",175000,21
"none",129000,21.3
"none",111000,20.5
"none",78000,22.6
"none",70000,22.7
"none",69000,22.2
"none",62000,22.7
"none",35000,24
"none",27000,23.6
"none",24000,23.5
"none",22000,23.3
"none",14000,24.4
"none",13000,24.3
"none",11000,24.2
